outgoing_connections,obyt_SUM,ibyt_SUM,ln_ibyt_SUM,ln_obyt_SUM,weighted_degree,ip,degree,total_traffic,ln_total_traffic,ln_degree,ln_weighted_degree,label
697,4818906,15994928,16.5877822299,15.3880574893,713.0,172.20.2.101,17,20813834,16.8511284197,2.83321334406,6.56948142041,1.0
591,1481596,5828432,15.5782585685,14.2086304431,595.0,172.20.1.19,15,7310028.0,15.8047576621,2.7080502011,6.38856140555,1.0
625,1402935,8538968,15.9601507154,14.1540770287,638.0,172.20.1.139,19,9941903.0,16.112269009,2.94443897917,6.45833828334,1.0
1027,10572425,15063050,16.5277552831,16.1737597544,1179.0,172.30.2.1,21,25635475,17.0594876924,3.04452243772,7.07242190054,1.0
712,2591545,12284802,16.3238734466,14.7677647809,739.0,172.30.2.62,22,14876347,16.5152830599,3.09104245336,6.60529792095,1.0
1690,32837217,51776798,17.7624526918,17.3070730947,1745.0,172.30.1.211,22,84614015,18.2536104728,3.09104245336,7.46450983464,1.0
1656,31753384,64088245,17.9757715197,17.2735098603,1722.0,172.30.1.224,21,95841629,18.3782076893,3.04452243772,7.45124168499,1.0
674,3145449,16774974,16.6353986909,14.9614672042,690.0,172.20.2.87,19,19920423,16.8072560448,2.94443897917,6.53669159759,1.0
737,2099311,10809406,16.195927239,14.5571197536,762.0,172.30.1.94,21,12908717,16.3734133776,3.04452243772,6.63594655569,1.0
162,16176,1809369,14.4084887237,9.69128394126,19893.0,172.20.0.5,28,1825545.0,14.4173891306,3.33220451018,9.89812319004,1.0
823,5857388,15056752,16.5273370864,15.5832143284,844.0,172.20.2.86,18,20914140.0,16.8559360432,2.8903717579,6.7381524946,1.0
706,2093059,7894654,15.8816963795,14.5541371902,719.0,172.30.1.117,18,9987713.0,16.1168661955,2.8903717579,6.57786135772,1.0
728,1689700,16831468,16.6387607876,14.3400615563,751.0,172.20.1.43,18,18521168,16.7344248521,2.8903717579,6.62140565176,1.0
779,1209625,3894838,15.1751626446,14.0058209522,789.0,172.10.2.60,17,5104463.0,15.4456258131,2.83321334406,6.67076632085,1.0
738,2999316,17987968,16.7052136479,14.9138948206,756.0,172.10.2.33,19,20987284,16.8594272885,2.94443897917,6.62804137618,1.0
741,1902253,4027395,15.2086303229,14.4585495311,758.0,172.20.1.110,20,5929648.0,15.59547541,2.99573227355,6.63068338564,1.0
747,1955666,22660706,16.9361429693,14.4862413584,772.0,172.20.2.106,21,24616372,17.018922308,3.04452243772,6.64898455002,1.0
658,2063152,12408496,16.3338919572,14.5397454684,678.0,172.20.1.117,20,14471648,16.4877019829,2.99573227355,6.51914728794,1.0
630,1964192,6320222,15.6592648921,14.4905915228,643.0,172.20.1.77,18,8284414.0,15.9298864761,2.8903717579,6.46614472424,1.0
712,1416098,5850722,15.5820756304,14.1634157599,735.0,172.10.2.114,18,7266820.0,15.7988293398,2.8903717579,6.59987049921,1.0
769,1635568,8769376,15.9867762102,14.3075007026,787.0,172.10.2.123,18,10404944,16.1577916358,2.8903717579,6.66822824842,1.0
876,4271998,15424808,16.5514876804,15.2675921915,994.0,172.20.2.2,22,19696806,16.7959670486,3.09104245336,6.90173720666,1.0
1300759,382377606,1809067,14.4083218007,19.7619191757,1309114.0,10.138.214.18,2,384186673,19.76663912,0.69314718056,14.0848611305,1.0
703,2703316,22751764,16.9401532388,14.8099897256,731.0,172.20.2.82,20,25455080.0,17.0524258881,2.99573227355,6.59441345975,1.0
727,2072498,14038900,16.4573426059,14.544265201,741.0,172.30.1.179,18,16111398,16.5950375298,2.8903717579,6.6080006253,1.0
1250,11800272,53518750,17.7955426178,16.28363314,1289.0,172.20.1.220,21,65319022,17.9947938535,3.04452243772,7.16162200294,1.0
729,2613532,9613464,16.0786751739,14.7762131212,753.0,172.20.2.111,19,12226996,16.319156852,2.94443897917,6.6240652278,1.0
635,1742461,9068328,16.0202984611,14.3708090397,657.0,172.20.1.12,18,10810789,16.1960551749,2.8903717579,6.48768401848,1.0
1023,1387227,136372,11.8231417247,14.1428173485,1024.0,10.170.121.155,2,1523599.0,14.2365858572,0.69314718056,6.9314718056,1.0
846,2748553,7909664,15.883595861,14.8265851493,861.0,172.20.1.195,19,10658217,16.1818417019,2.94443897917,6.75809450443,1.0
875,7529696,18942834,16.7569362649,15.8343652271,928.0,172.30.2.4,22,26472530.0,17.0916181495,3.09104245336,6.83303173279,1.0
970,9635473,22401756,16.9246499066,16.0809619505,992.0,172.10.1.250,23,32037229,17.2824091908,3.13549421593,6.89972310728,1.0
1251990,355845363,2023362,14.5202710423,19.6900068209,1268632.0,10.10.11.102,2,357868725,19.6956767872,0.69314718056,14.0534497125,1.0
2286,1511993077,1127693388,20.8434401339,21.136694536,92185.0,10.0.0.12,2062,2639686465,21.6939259838,7.63143166458,11.4315527065,1.0
629,2313311,11103734,16.2227920061,14.6541903896,639.0,172.30.2.83,19,13417045,16.4120364715,2.94443897917,6.45990445438,1.0
711,1677200,11126546,16.2248443427,14.3326362943,734.0,172.20.1.142,20,12803746,16.3652483423,2.99573227355,6.59850902861,1.0
637,1940264,11951150,16.296338066,14.4783346043,649.0,172.30.1.36,19,13891414,16.4467815094,2.94443897917,6.4754327167,1.0
1247,12716593,37209336,17.4320702555,16.3584182341,1287.0,172.20.1.248,20,49925929,17.726051045,2.99573227355,7.1600692076,1.0
753,3131455,6020530,15.6106858533,14.9570083107,804.0,172.30.1.2,21,9151985.0,16.0294813536,3.04452243772,6.68959926918,1.0
1325,13255206,14608322,16.4971019243,16.3999009389,1353.0,172.20.1.244,20,27863528,17.1428291515,2.99573227355,7.21007962817,1.0
1310,21069354,13073924,16.3861302701,16.8633301256,1331.0,172.30.2.37,18,34143278,17.3460762871,2.8903717579,7.1936858184,1.0
621,1830824,8651088,15.9731956513,14.4202766967,642.0,172.20.1.20,17,10481912,16.165161663,2.83321334406,6.46458830369,1.0
762,3017443,6455942,15.680511505,14.919920342,786.0,172.20.1.93,19,9473385.0,16.0639968459,2.94443897917,6.66695679243,1.0
878,2081087,13335956,16.4059744041,14.5484009113,893.0,172.30.1.43,20,15417043,16.5509841438,2.99573227355,6.79458658088,1.0
1044,25243558,11593894,16.2659891382,17.0440815524,1063.0,172.10.1.110,22,36837452,17.422025603,3.09104245336,6.96885037834,1.0
751,4136203,3216472,14.9837956647,15.2352887752,793.0,172.10.2.17,20,7352675.0,15.8105747506,2.99573227355,6.67582322163,1.0
661,1747157,6587264,15.7006486458,14.3735004534,671.0,172.30.2.114,18,8334421.0,15.9359046056,2.8903717579,6.50876913697,1.0
1169,25832146,6428214,15.6762072971,17.0671302433,1179.0,172.10.1.104,25,32260360.0,17.2893497899,3.21887582487,7.07242190054,1.0
586,1752793,6498608,15.6870985581,14.3767210736,604.0,172.10.2.58,16,8251401.0,15.9258935621,2.77258872224,6.40357419793,1.0
749,1465406,4653216,15.3530691514,14.1976428951,762.0,172.10.2.76,17,6118622.0,15.6268474657,2.83321334406,6.63594655569,1.0
1056,10851238,23420720,16.9691316586,16.1997897328,1164.0,172.20.1.201,21,34271958,17.3498380267,3.04452243772,7.05961762829,1.0
865,3985792,10250668,16.1428534322,15.1982465958,882.0,172.20.2.12,17,14236460.0,16.4713168375,2.83321334406,6.78219205601,1.0
732,1668088,2047660,14.5322082357,14.3271886183,745.0,172.10.1.56,21,3715748.0,15.1280905618,3.04452243772,6.61338421838,1.0
952,1496308,18105152,16.7117070966,14.2185112987,973.0,172.10.2.90,20,19601460.0,16.7911146112,2.99573227355,6.88038408219,1.0
798,3104065,9806478,16.0985537457,14.9482231008,816.0,172.20.1.173,21,12910543,16.3735548224,3.04452243772,6.70441435496,1.0
665,2778404,4589756,15.3393374216,14.8373872201,682.0,172.30.2.100,23,7368160.0,15.8126785722,3.13549421593,6.52502965784,1.0
699,2860744,4083462,15.222455716,14.8665922888,712.0,172.20.2.93,18,6944206.0,15.7534182008,2.8903717579,6.56807791141,1.0
750,1717359,5907716,15.5917698511,14.3562982036,765.0,172.10.2.113,18,7625075.0,15.8469527165,2.8903717579,6.63987583383,1.0
831,2258465,9538904,16.0708891521,14.6301959369,848.0,172.20.1.146,18,11797369,16.2833870985,2.8903717579,6.74288063579,1.0
718,1167388,3727710,15.1313046621,13.9702793324,730.0,172.10.1.48,23,4895098.0,15.4037448542,3.13549421593,6.59304453414,1.0
1139,9582714,25054968,17.0365826892,16.0754714084,1176.0,172.20.1.210,20,34637682,17.3604527226,2.99573227355,7.06987412846,1.0
845,4413767,864966,13.6704454788,15.3002390778,867.0,172.30.1.156,19,5278733.0,15.4791966648,2.94443897917,6.76503897678,1.0
820,2207359,9717142,16.0894021003,14.6073073363,853.0,172.30.1.106,21,11924501,16.294105749,3.04452243772,6.74875954749,1.0
977,2463493,6863318,15.7417015562,14.7170908195,990.0,172.10.2.98,18,9326811.0,16.0484037138,2.8903717579,6.89770494313,1.0
901,2657736,4640610,15.3503563811,14.7929851905,1001.0,172.20.1.94,21,7298346.0,15.8031583051,3.04452243772,6.90875477932,1.0
1668,31830482,63979305,17.9740702297,17.2759349421,1769.0,172.30.1.202,22,95809787,18.3778753985,3.09104245336,7.47816969416,1.0
698,1727149,5335396,15.4898736668,14.3619826302,719.0,172.20.1.67,18,7062545.0,15.7703160261,2.8903717579,6.57786135772,1.0
818,2139939,17624258,16.6847868065,14.5762878819,842.0,172.30.1.23,22,19764197,16.7993826265,3.09104245336,6.73578001424,1.0
661,2570466,6896710,15.7465550443,14.7595977634,675.0,172.20.2.71,19,9467176.0,16.0633412158,2.94443897917,6.51471269087,1.0
667,1586886,12628344,16.3514543693,14.2772841633,677.0,172.10.2.118,17,14215230.0,16.469824483,2.83321334406,6.51767127291,1.0
970,7063508,11989946,16.2995790232,15.7704523699,1035.0,172.10.1.203,23,19053454,16.7627589554,3.13549421593,6.9421567057,1.0
767,1755481,9066668,16.0201153897,14.3782534514,786.0,172.10.1.80,27,10822149,16.1971054253,3.295836866,6.66695679243,1.0
681,1521965,11747872,16.2791826758,14.2355128211,697.0,172.20.1.115,18,13269837,16.4010041229,2.8903717579,6.54678541076,1.0
901,5275433,24578068,17.0173650585,15.4785713193,1061.0,172.10.1.201,25,29853501,17.2118126774,3.21887582487,6.96696713861,1.0
1174,24949622,4454416,15.3094065216,17.0323692297,1192.0,172.10.1.183,25,29404038,17.1966425698,3.21887582487,7.08338784763,1.0
839,3255120,22549152,16.9312080179,14.9957396993,869.0,172.20.2.29,19,25804272,17.0660506176,2.94443897917,6.76734312527,1.0
708,2619470,19491308,16.7854791806,14.7784825652,737.0,172.20.2.105,20,22110778,16.9115757399,2.99573227355,6.60258789219,1.0
782,2734423,15633580,16.5649317229,14.8214310027,849.0,172.10.2.16,24,18368003,16.7261207414,3.17805383035,6.74405918631,1.0
726,2280527,7886748,15.8806944406,14.6399171146,738.0,172.30.1.68,17,10167275,16.1346847872,2.83321334406,6.6039438246,1.0
1108,9601406,43790780,17.5949338509,16.077420104,1151.0,172.20.1.239,21,53392186,17.7931749636,3.04452243772,7.04838640872,1.0
633,1502269,2313832,14.6544155825,14.2224871898,643.0,172.30.1.31,18,3816101.0,15.1547397787,2.8903717579,6.46614472424,1.0
601,1839184,3596222,15.0953944079,14.424832553,616.0,172.30.1.154,19,5435406.0,15.5084447768,2.94443897917,6.42324696353,1.0
751,2758760,11189482,16.2304847879,14.8302918614,767.0,172.10.1.37,24,13948242,16.4508640368,3.17805383035,6.64248680137,1.0
1302,27161068,6085418,15.6214059756,17.1172951824,1318.0,172.10.1.168,25,33246486,17.3194596353,3.21887582487,7.18387071506,1.0
701,1504298,8331064,15.9355017371,14.2238369022,712.0,172.20.1.59,17,9835362.0,16.1014948164,2.83321334406,6.56807791141,1.0
1783,31319838,97305507,18.3933661437,17.2597622567,1868.0,172.30.1.247,21,128625345,18.6724144343,3.04452243772,7.53262361879,1.0
1148,25999253,6224530,15.6440084955,17.0735783648,1163.0,172.10.1.189,23,32223783,17.2882153404,3.13549421593,7.05875815252,1.0
1246,17162667,15000862,16.5236182241,16.6582470595,1312.0,172.30.2.5,21,32163529,17.2863437288,3.04452243772,7.1793079695,1.0
1244,30008688,7069534,15.7713051234,17.2169974977,1255.0,172.10.1.121,21,37078222,17.4285403471,3.04452243772,7.13489085157,1.0
163,16266,2689684,14.8049342726,9.69683231873,30461.0,172.20.0.6,28,2705950.0,14.8109636101,3.33220451018,10.3242024559,1.0
675,2009850,5215544,15.4671539555,14.5135706504,686.0,172.30.1.128,18,7225394.0,15.7931123233,2.8903717579,6.53087762773,1.0
694,1310396,3323842,15.0166319007,14.0858399396,709.0,172.10.1.77,25,4634238.0,15.3489823422,3.21887582487,6.56385552653,1.0
652,1540359,2849724,14.8627327055,14.2475260641,664.0,172.30.1.60,20,4390083.0,15.2948586915,2.99573227355,6.49828214948,1.0
1468,27136465,52343796,17.7733439782,17.1163889533,1527.0,172.30.1.225,21,79480261,18.1910192595,3.04452243772,7.33106030522,1.0
796,4281814,18196404,16.7167345501,15.2698873095,827.0,172.10.2.6,24,22478218,16.9280573094,3.17805383035,6.71780469502,1.0
